Conference,Year,Title,Award,authornum,authornum_77,PaperType,Link,cite,cite_log,cite_log_one
Vis,1990,"Spline-based color sequences for univariate, bivariate and trivariate mapping",0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146383,6,0.77815125,0.244189171
Vis,1990,Superposing images with shadow casting,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146394,8,0.903089987,0.283395799
Vis,1990,Visualization of free form volumes,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146403,12,1.079181246,0.338654437
Vis,1990,Wide-band relativistic Doppler effect visualization,0,6,4.62,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146368,13,1.113943352,0.349563024
Vis,1990,Accurate display of tensor product isosurfaces,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146401,14,1.146128036,0.359662797
Vis,1990,Visualization for nonlinear engineering FEM analysis in manufacturing,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146412,14,1.146128036,0.359662797
Vis,1990,The VIS-5D system for easy interactive visualization,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146361,16,1.204119983,0.377861065
Vis,1990,Rendering and managing spherical data with sphere quadtrees,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146380,17,1.230448921,0.386123266
Vis,1990,A journey into the fourth dimension,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146385,18,1.255272505,0.393913076
Vis,1990,Ray traced scalar fields with shaded polygonal output,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146390,18,1.255272505,0.393913076
Vis,1990,Animation techniques for chain-coded objects,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146366,21,1.322219295,0.414921435
Vis,1990,Dynamic graphics for network visualization,0,4,3.08,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146369,21,1.322219295,0.414921435
Vis,1990,Volume microscopy of biological specimens based on non-confocal imaging techniques,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146413,21,1.322219295,0.414921435
Vis,1990,A procedural interface for volume rendering,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146362,22,1.342422681,0.421261396
Vis,1990,Visualization of irregular multivariate data,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146388,24,1.380211242,0.433119704
Vis,1990,An interpersonal multimedia visualization system,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146399,25,1.397940009,0.438683112
Vis,1990,Shape coding of multidimensional data on a microcomputer display,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146387,25,1.397940009,0.438683112
Vis,1990,Techniques for visualizing 3-dimensional manifolds,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146400,30,1.477121255,0.463530727
Vis,1990,Interactive visualization of quaternion Julia sets,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146384,37,1.568201724,0.4921124
Vis,1990,Displaying voxel-based objects according to their qualitative shape synthesis,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146364,38,1.579783597,0.49574687
Vis,1990,Interpreting a 3D object from a rough 2D line drawing,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146365,38,1.579783597,0.49574687
Vis,1990,Automatic illustration of 3D geometric models: surfaces,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146395,40,1.602059991,0.502737355
Vis,1990,Volume visualization in cell biology,0,4,3.08,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146378,41,1.612783857,0.506102577
Vis,1990,Scattered data interpolation tools in a microcomputer visualization environment,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146396,47,1.672097858,0.524715715
Vis,1990,A system for three-dimensional acoustic 'visualization' in a virtual environment workstation,0,4,3.08,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146398,51,1.707570176,0.535847171
Vis,1990,The application of transport theory to visualization of 3D scalar data fields,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146391,54,1.73239376,0.543636981
Vis,1990,Visualizing computer memory architectures,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146371,54,1.73239376,0.543636981
Vis,1990,Hierarchical triangulation using terrain features,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146379,57,1.755874856,0.551005509
Vis,1990,Extracting geometric models through constraint minimization,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146367,59,1.770852012,0.555705443
Vis,1990,Parallel coordinates: a tool for visualizing multi-dimensional geometry,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146402,68,1.832508913,0.575053799
Vis,1990,Methods for surface interrogation,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146381,69,1.838849091,0.57704339
Vis,1990,FAST: a multi-processed environment for visualization of computational fluid dynamics,0,6,4.62,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146360,76,1.880813592,0.590212137
Vis,1990,A three-dimensional/stereoscopic display and model control system for Great Lakes forecasts,0,4,3.08,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146382,79,1.897627091,0.595488327
Vis,1990,Moving iconic objects in scientific visualization,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146373,96,1.982271233,0.622050237
Vis,1990,Surface representations of two- and three-dimensional fluid flow topology,BP,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146359,107,2.029383778,3
Vis,1990,Interactive investigation of fluid mechanics data sets,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146416,126,2.100370545,0.659110606
Vis,1990,Design of an end-user data visualization system,0,4,3.08,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146397,127,2.103803721,0.66018796
Vis,1990,A graphical interface for robotic remediation of underground storage tanks,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146419,129,2.11058971,0.66231745
Vis,1990,A problem-oriented classification of visualization techniques,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146375,198,2.29666519,0.720709205
Vis,1990,Techniques for the interactive visualization of volumetric data,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1990.146363,215,2.33243846,0.731935101
Vis,1991,Interactive data visualization using focusing and linking,0,4,3.08,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175794,1,0,0
Vis,1991,The electronic structure of oxygen in silicon as revealed by volume visualization of Ab initio calculations,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175786,0,0,0
Vis,1991,Visualization of equations in an interactive environment,0,4,3.08,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175781,1,0,0
Vis,1991,"Distributed visualization using workstations, supercomputers, and high speed networks",0,6,4.62,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175834,2,0.301029996,0.094465266
Vis,1991,Enhanced visualization of multi-dimensional structures. Applications in positron emission tomography and climate data,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175799,2,0.301029996,0.094465266
Vis,1991,Realistic volume imaging,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175805,2,0.301029996,0.094465266
Vis,1991,Visualisation tools for semiconductor modelling software,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175830,2,0.301029996,0.094465266
Vis,1991,Visualizing chemical kinetics in fractal domains,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175831,2,0.301029996,0.094465266
Vis,1991,Fast rotation of volume data on parallel architectures,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175777,3,0.477121255,0.149723905
Vis,1991,Experiments with interdisciplinary projects and scientific visualization applications at the undergraduate level,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175836,4,0.602059991,0.188930533
Vis,1991,How shall we connect our software tools?,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175816,4,0.602059991,0.188930533
Vis,1991,Multidimensional real time visualization on personal computers,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175832,4,0.602059991,0.188930533
Vis,1991,A fast ray tracing casting algorithm using adaptive isotriangular subdivision,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175806,5,0.698970004,0.219341556
Vis,1991,The visual comparison of three sequences,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175797,5,0.698970004,0.219341556
Vis,1991,Run-time visualization of program data,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175810,6,0.77815125,0.244189171
Vis,1991,Two widely-different architectural approaches to computer image generation,0,6,4.62,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175776,6,0.77815125,0.244189171
Vis,1991,Computer assisted sphere packing in higher dimensions,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175785,7,0.84509804,0.26519753
Vis,1991,Span filtering: an optimization scheme for volume visualization of large finite element models,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175780,7,0.84509804,0.26519753
Vis,1991,Topographical mapping of brain electrical activity,0,5,3.85,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175800,9,0.954242509,0.29944781
Vis,1991,Designing a distributed scientific visualization tool,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175835,10,1,0.313806822
Vis,1991,Gray scale diagrams as business charts,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175791,13,1.113943352,0.349563024
Vis,1991,Integration of visualization and scientific calculation in a software system,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175812,13,1.113943352,0.349563024
Vis,1991,The hyperbox,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175790,13,1.113943352,0.349563024
Vis,1991,Visualization and analysis of multi-variate data: a technique for all fields,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175796,14,1.146128036,0.359662797
Vis,1991,Acoustic imaging: the reconstruction of underwater objects,0,4,3.08,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175784,18,1.255272505,0.393913076
Vis,1991,Visualizing 4-D medical ultrasound data,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175802,20,1.301029996,0.408272089
Vis,1991,Advanced visualization on desktop workstations,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175833,21,1.322219295,0.414921435
Vis,1991,A scientific visualization synthesizer,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175811,23,1.361727836,0.427319485
Vis,1991,In vivo blood flow visualization with magnetic resonance imaging,0,4,3.08,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175801,25,1.397940009,0.438683112
Vis,1991,A tool for visualizing the topology of three-dimensional vector fields,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175773,26,1.414973348,0.44402829
Vis,1991,Visualizing causal effects in 4D space-time vector fields,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175770,29,1.462397998,0.458910469
Vis,1991,"Cooperative, computer-aided design of scientific visualizations",0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175819,30,1.477121255,0.463530727
Vis,1991,Visualizing environmental data for program decision support,0,4,3.08,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175838,31,1.491361694,0.467999474
Vis,1991,Multi-valued volumetric visualization,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175804,35,1.544068044,0.484539086
Vis,1991,The asymptotic decider: resolving the ambiguity in marching cubes,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175782,35,1.544068044,0.484539086
Vis,1991,The stream polygon: A technique for 3D vector field visualization,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175789,39,1.591064607,0.499286928
Vis,1991,A data model for scientific visualization with provisions for regular and irregular grids,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175818,42,1.62324929,0.509386702
Vis,1991,Interactive data exploration with a supercomputer,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175809,43,1.633468456,0.512593545
Vis,1991,Visualizing the fourth dimension using geometry and light,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175821,44,1.643452676,0.515726662
Vis,1991,Achieving direct volume visualization with interactive semantic region selection,0,7,5.39,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175778,46,1.662757832,0.521784751
Vis,1991,NetV: an experimental network-based volume visualization system,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175807,52,1.716003344,0.538493556
Vis,1991,Volume rendering of flow-visualization point data,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175772,54,1.73239376,0.543636981
Vis,1991,Tree-maps: a space-filling approach to the visualization of hierarchical information structures,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175815,68,1.832508913,0.575053799
Vis,1991,The virtual windtunnel: An environment for the exploration of three-dimensional unsteady flows,BP,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175771,71,1.851258349,3
Vis,1991,Shadowed hedgehogs: a technique for visualizing 2D slices of 3D vector fields,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175792,83,1.919078092,0.602219798
Vis,1991,Visualization in computational fluid dynamics: a case study,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175837,107,2.029383778,0.636834474
Vis,1991,Image handling in a multi-vendor environment,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175814,117,2.068185862,0.649010833
Vis,1991,Deixis and the future of visualization excellence,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175820,132,2.120573931,0.665450567
Vis,1991,Color icons: merging color and texture perception for integrated visualization of multiple parameters,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175795,156,2.193124598,0.688217461
Vis,1991,Golf green visualization,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1991.175787,404,2.606381365,0.817900254
Vis,1992,Constructing stream surfaces in steady 3D vector fields,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235211,1,0,0
Vis,1992,Visualizing a three dimensional hydrodynamic model,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235173,1,0,0
Vis,1992,Visualizing seafloor structures with satellite gravity measurements,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235176,1,0,0
Vis,1992,Flow visualization as a basic tool to investigate the dynamics and topology of jets,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235212,2,0.301029996,0.094465266
Vis,1992,Rendering surface-particles,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235226,2,0.301029996,0.094465266
Vis,1992,Visualization requirements in the atmospheric and environmental sciences (five case study reports),0,12,9.24,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235175,2,0.301029996,0.094465266
Vis,1992,Visualizing wind velocities by advecting cloud textures,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235210,2,0.301029996,0.094465266
Vis,1992,"A voxel-based, forward projection algorithm for rendering surface and volumetric data",0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235190,5,0.698970004,0.219341556
Vis,1992,An architecture for a scientific visualization system,0,6,4.62,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235219,5,0.698970004,0.219341556
Vis,1992,Case study: visualizing classical problems in CFD,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235174,5,0.698970004,0.219341556
Vis,1992,Towards a comprehensive volume visualization system,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235231,5,0.698970004,0.219341556
Vis,1992,Four-dimensional views of 3D scalar fields,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235222,10,1,0.313806822
Vis,1992,Visualization of cardiac bioelectricity-a case study,0,4,3.08,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235178,10,1,0.313806822
Vis,1992,Visualization in anthropology: reconstruction of human fossils from multiple pieces,0,4,3.08,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235179,11,1.041392685,0.326796129
Vis,1992,Visualizing the Universe,0,4,3.08,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235181,11,1.041392685,0.326796129
Vis,1992,Automated design of virtual worlds for visualizing multivariate relations,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235197,14,1.146128036,0.359662797
Vis,1992,Interactive terrain rendering and volume visualization on the Princeton Engine,0,5,3.85,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235189,14,1.146128036,0.359662797
Vis,1992,Visualizing n-dimensional implications of two-dimensional design decisions,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235188,16,1.204119983,0.377861065
Vis,1992,An efficient range search algorithm for visualizing extrema of volume data,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235216,17,1.230448921,0.386123266
Vis,1992,Visualization of neutron scattering data using AVS,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235180,18,1.255272505,0.393913076
Vis,1992,"Visualization of high resolution, three-dimensional, nonlinear finite element analyses",0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235192,19,1.278753601,0.401281604
Vis,1992,The microscopist's workstation,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235177,21,1.322219295,0.414921435
Vis,1992,Surface curvature analysis using color,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235200,23,1.361727836,0.427319485
Vis,1992,SuperGlue: a programming environment for scientific visualization,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235202,25,1.397940009,0.438683112
Vis,1992,Massively parallel isosurface extraction,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235223,30,1.477121255,0.463530727
Vis,1992,Network video device control,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235195,32,1.505149978,0.472326332
Vis,1992,Virtual spacetime: an environment for the visualization of curved spacetimes via geodesic flows,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235196,33,1.51851394,0.476520034
Vis,1992,Improving the visualization of hierarchies with treemaps: design issues and experimentation,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235217,40,1.602059991,0.502737355
Vis,1992,A characterization of the scientific data analysis process,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235203,41,1.612783857,0.506102577
Vis,1992,Display of scientific data structures for algorithm visualization,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235215,42,1.62324929,0.509386702
Vis,1992,Visualization of fuzzy data using generalized animation,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235199,42,1.62324929,0.509386702
Vis,1992,Direct volumetric visualization,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235220,44,1.643452676,0.515726662
Vis,1992,Interactive visualization of large scalar voxel fields,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235229,46,1.662757832,0.521784751
Vis,1992,Representing medical images with partitioning trees,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235214,52,1.716003344,0.538493556
Vis,1992,Visualization for the document space,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235198,52,1.716003344,0.538493556
Vis,1992,"Color, change, and control of quantitative data display",0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235201,57,1.755874856,0.551005509
Vis,1992,Anatomical atlases based on volume visualization,0,7,5.39,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235218,60,1.77815125,0.557995993
Vis,1992,The state of the art of visual languages for visualization,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235207,64,1.806179974,0.566791598
Vis,1992,Volume rendering on a distributed memory parallel computer,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235221,64,1.806179974,0.566791598
Vis,1992,Volume warping,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235194,64,1.806179974,0.566791598
Vis,1992,Visualization of second order tensor fields and matrix data,TT;BP,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235193,66,1.819543936,3
Vis,1992,VISAGE: an object-oriented scientific visualization system,0,4,3.08,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235205,68,1.832508913,0.575053799
Vis,1992,Generalized focal surfaces: a new method for surface interrogation,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235224,69,1.838849091,0.57704339
Vis,1992,Visualizing code profiling line oriented statistics,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235206,70,1.84509804,0.579004353
Vis,1992,Interactive splatting of nonrectilinear volumes,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235228,80,1.903089987,0.597202621
Vis,1992,A 3-D streamline tracking algorithm using dual stream functions,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235225,82,1.913813852,0.600567843
Vis,1992,Optimizing triangulations by curvature equalization,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235191,89,1.949390007,0.611731883
Vis,1992,Visualization of simulated airflow in a clean room,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235213,108,2.033423755,0.638102247
Vis,1992,Virtual Smoke: an interactive 3D flow visualization technique,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235227,116,2.064457989,0.647841001
Vis,1992,A scientific visualization renderer,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235204,136,2.133538908,0.669519065
Vis,1992,Logical time in visualizations produced by parallel programs,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235209,139,2.1430148,0.672492665
Vis,1992,Visual query specification in a multimedia database system,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235208,223,2.348304863,0.736914087
Vis,1992,Approximation and rendering of volume data using wavelet transforms,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1992.235230,265,2.423245874,0.760431087
Vis,1993,Navigating large networks with hierarchies,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1993.398870,0,0,0
Vis,1993,Visualizing results of transient flow simulations,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1993.398896,1,0,0
Vis,1993,Non conventional methods for the visualization of events from high energy physics,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1993.398898,2,0.301029996,0.094465266
Vis,1993,Fast volume rendering of compressed data,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1993.398845,3,0.477121255,0.149723905
Vis,1993,Visualization of acoustic lens data,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1993.398884,3,0.477121255,0.149723905
Vis,1993,An architecture for rule-based visualization,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1993.398874,4,0.602059991,0.188930533
Vis,1993,Applying observations of work activity in designing prototype data analysis tools,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1993.398873,4,0.602059991,0.188930533
Vis,1993,Interactive visualization methods for four dimensions,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1993.398869,4,0.602059991,0.188930533
Vis,1993,Visualization of oil reservoirs over a large range of scales as a catalyst for multi-disciplinary integration,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1993.398893,4,0.602059991,0.188930533
Vis,1993,Towards a texture naming system: Identifying relevant dimensions of texture,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1993.398872,5,0.698970004,0.219341556
Vis,1993,Texture splats for 3D scalar and vector field visualization,TT;BP,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1993.398877,6,0.77815125,3
Vis,1993,The quantum Coulomb three-body problem - Visualization of simulation results and numerical methods,0,6,4.62,conference paper,http://dx.doi.org/10.1109/VISUAL.1993.398911,6,0.77815125,0.244189171
Vis,1993,3D simulation of delivery,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1993.398903,7,0.84509804,0.26519753
Vis,1993,A climate simulation case study,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1993.398900,7,0.84509804,0.26519753
Vis,1993,Fanal: A relational analysis and visualization package for high energy physics,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1993.398897,7,0.84509804,0.26519753
Vis,1993,Fast analytical computation of Richard's smooth molecular surface,0,2,1.54,conference paper,http://dx.doi.org/10.1109/VISUAL.1993.398882,7,0.84509804,0.26519753
Vis,1993,Developing modular application builders to exploit MIMD parallel,0,3,2.31,conference paper,http://dx.doi.org/10.1109/VISUAL.1993.398861,8,0.903089987,0.283395799
Vis,1993,Implicit stream surfaces,0,1,0.77,conference paper,http://dx.doi.org/10.1109/VISUAL.1993.398875,9,0.954242509,0.29944781
